datetime,open,high,low,close,volume,RSI,STOCH_K,BB_UP,BB_LO,BB_MID,EMA_200,ADX
2025-10-03 10:15:00,285.16,285.8,285.12,285.73,191.5,39.705882352941764,100.0,288.22260483988345,283.84439516011656,286.0335,288.9300385562869,37.86503041266279
2025-10-03 10:30:00,285.73,286.11,285.26,286.11,192.3,42.72959183673502,100.0,288.0466238600521,283.883376139948,285.96500000000003,288.90197847114973,38.107300973581864
2025-10-03 10:45:00,286.11,286.25,285.44,285.73,204.5,54.82815057283149,100.0,287.7695310076338,283.95846899236614,285.864,288.87041649631243,37.84023240571978
2025-10-03 11:00:00,285.73,285.94,284.11,284.25,175.5,42.07650273224051,69.59158154225055,287.57361420029576,283.82938579970426,285.7015,288.82444220281684,40.06258508946147
2025-10-03 11:15:00,284.25,286.25,283.89,284.32,184.4,42.625169147496614,70.89996757654113,287.319833623206,283.7691663767939,285.54449999999997,288.7796218823908,41.574568555039136
2025-10-03 11:30:00,284.38,284.69,284.0,284.58,162.2,50.0,88.4864744673753,287.0244756986149,283.79152430138515,285.408,288.73783459997895,43.20962677867122
2025-10-03 11:45:00,284.54,286.25,284.41,284.42,182.1,46.39639639639677,77.29330850587922,286.68080692226545,283.8501930777345,285.2655,288.694871071621,44.441352890866696
2025-10-03 12:00:00,284.52,286.25,284.11,284.69,171.0,46.71641791044783,71.4658445979386,286.22135034896405,284.0536496510359,285.1375,288.6550216082218,45.093393074852784
2025-10-03 12:15:00,284.69,285.01,284.58,284.83,164.6,43.1528662420382,56.30363714672478,286.21453158451374,284.0294684154863,285.122,288.61696169172205,41.4334166876036
2025-10-03 12:30:00,284.83,286.42,284.78,286.15,216.9,59.0909090909086,100.0,286.33920337230586,283.9787966276941,285.159,288.59241480921736,39.37061890583364
2025-10-03 12:45:00,286.16,286.54,283.89,286.25,1662.8999999999999,53.80794701986729,79.08447990408811,286.4748817593655,283.92711824063446,285.20099999999996,288.56910719917545,36.368672019972436
2025-10-03 13:00:00,286.24,286.24,284.44,285.75,211.1,53.36617405582939,76.77862526153233,286.5207020164581,283.99829798354193,285.2595,288.5410563812732,33.38241409185401
2025-10-03 13:15:00,285.75,289.13,285.75,289.13,3512.3999999999996,69.59314775160576,100.0,287.599126430752,283.342873569248,285.471,288.54691651678297,32.19019831251448
2025-10-03 13:30:00,289.14,289.72,286.8,287.38,10819.3,60.352831940575776,69.08276589452363,287.8678750728999,283.29912492710014,285.5835,288.5353054071632,31.392699930441577
2025-10-03 13:45:00,287.38,288.21,287.04,287.25,3419.0,57.36434108527127,55.5585113747396,288.0646319476668,283.2583680523332,285.6615,288.52251629863423,31.209286221847975
2025-10-03 14:00:00,287.25,287.3,285.89,285.89,325.7,49.02654867256625,25.25760657025789,288.08895128735446,283.3320487126456,285.7105,288.49632210660803,29.357226049720214
2025-10-03 14:15:00,285.89,286.03,284.59,285.62,5142.3,49.508489722966864,27.009059372957644,288.08047009651204,283.32352990348795,285.702,288.4677019861443,29.142054035514978
2025-10-03 14:30:00,285.63,286.59,284.59,286.23,289.3,59.5930232558141,62.918524066657625,288.1297509861867,283.36324901381323,285.74649999999997,288.44543629473986,28.522276979015313
2025-10-03 14:45:00,286.24,287.55,284.59,286.48,550.4,60.28571428571446,64.79828150648339,288.19831630569615,283.3956836943039,285.797,288.42587971469277,28.85738385322956
