ts,open,high,low,close,volume,RSI,STOCH_RSI,BB_UPPER,BB_LOWER,BB_MID,EMA_200,ADX
1759629600000,282.25,286.57,281.04,286.57,19363.100000000002,62.69207129686531,100.0,285.7133111936735,280.0256888063265,282.8695,289.20627241923756,44.663661518319095
1759633200000,286.57,289.17,286.57,287.5,10825.8,61.606578115116974,97.81255924686312,286.2909424911105,279.64305750888946,282.967,289.18929458422025,42.0003921883831
1759636800000,287.49,291.51,286.74,290.76,12318.599999999999,76.60577489687654,100.0,288.11257742394827,278.4954225760517,283.304,289.20492349383,40.3424218361513
1759640400000,290.9,291.99,290.01,290.27,1445.8,81.30081300812981,100.0,289.36458965732896,277.901410342671,283.633,289.21552127001075,40.31755530513254
1759644000000,290.27,291.99,289.36,289.8,1124.6,77.07090788601712,91.63236974757972,290.3228071875334,277.64119281246667,283.982,289.2213369787669,39.767935471635674
1759647600000,289.8,293.39,289.8,293.39,1441.8,80.73496659242745,98.85152946128427,292.08434207661577,276.9756579233842,284.53,289.262816212809,40.14851469413033
1759651200000,293.39,295.81,293.39,295.11,7631.400000000001,83.3933161953727,100.0,293.99663444992933,276.33036555007067,285.1635,289.3209971460149,41.59109485704479
1759654800000,295.11,295.81,291.76,292.22,5435.8,71.60092807424593,75.76228714015862,294.9313645628528,276.2346354371471,285.58299999999997,289.34984294555704,42.35882128037525
1759658400000,292.22,292.97,289.09,289.46,11629.8,64.02489626556013,57.07821571851629,295.28625903666995,276.65274096333,285.9695,289.350939035651,42.24008910041427
1759662000000,289.42,291.0,288.2,289.39,3548.3,63.628797336662515,52.119236424590945,295.4551117474185,277.39688825258145,286.426,289.35132770196293,42.11319979594947
1759665600000,289.37,289.86,287.2,287.24,1296.7,57.95366795366796,38.37088615158297,295.4523917272778,277.9606082727222,286.7065,289.3303194661225,42.711882228883795
1759669200000,287.27,288.07,286.96,287.41,1063.7,58.38461538461541,39.41488283079033,295.46418719063377,278.4548128093662,286.9595,289.3112118097432,43.234295927554896
1759672800000,287.48,289.24,286.96,288.66,1343.5,65.04354711005547,46.126897449429336,295.50584118246036,279.06715881753973,287.28650000000005,289.3047320902433,44.1978368612692
