ts,open,high,low,close,volume,RSI,STOCH_RSI,BB_UPPER,BB_LOWER,BB_MID,EMA_200,ADX
1761782400000,227.39,230.87,208.01,214.53,524971.1,46.03337372984059,72.68277586991753,258.3932386569429,201.58276134305703,229.98799999999997,272.90552424833,40.31936886869347
1761868800000,214.53,235.0,212.69,228.38,518638.7,60.51875957120979,100.0,258.0472103595846,201.35578964041534,229.70149999999998,272.4624842060581,36.06725740145785
1761955200000,228.57,229.71,221.47,222.84,79743.0,53.98760940112106,77.37139519304158,254.96050656919905,201.63949343080097,228.3,271.9687281443063,31.815145934222222
1762041600000,222.87,236.82,218.8,231.24,388322.5,54.0463563150658,77.5749367844403,248.68279600550503,204.94220399449497,226.8125,271.563467167746,27.696028393082823
1762128000000,231.3,232.62,196.93,199.57,807818.1,38.55912294440093,23.916013873293586,244.80144722172207,203.25455277827797,224.02800000000002,270.84711426060426,23.5902129442015
1762214400000,199.72,205.7,177.14,188.06,1699677.3,38.093764505647535,22.303677312367327,245.9059035849502,196.74409641504977,221.325,270.0233618799017,20.647400712206995
1762300800000,188.06,204.72,180.75,201.9,726154.5,44.868056049505654,34.327138288531664,246.31287350304206,194.223126496958,220.26800000000003,269.3455174830868,17.211896077022075
1762387200000,201.83,205.39,193.09,197.1,352587.1,40.0553492098172,8.747313872019728,247.1879886655173,192.41801133448263,219.80299999999997,268.6266566126083,14.25900853902816
1762473600000,197.11,212.29,190.1,208.0,573089.8,42.75679810835246,20.793911388038083,247.27605706606116,191.65694293393884,219.4665,268.02340629805497,15.956713503166
1762560000000,208.01,210.91,198.46,202.69,448833.1,41.99166723584455,17.381955798879844,247.18519008776804,189.716809912232,218.45100000000002,267.3733226532982,17.654418467303845
1762646400000,202.28,214.35,196.67,212.17,295774.7,39.93635077793493,8.216662999926507,246.0549666135865,189.18503338641358,217.62000000000003,266.8240358607281,20.27624623821669
1762732800000,212.18,228.44,210.84,228.21,775018.4,47.76050586220525,43.10699435293429,246.91418173293405,189.26281826706597,218.0885,266.4398165984323,22.128997939263694
1762819200000,228.44,231.68,207.14,207.59,452164.1,43.767731031568786,25.301974467921646,246.85199190285,188.45100809715,217.6515,265.85424628402,23.445074394997558
1762905600000,207.59,219.17,202.96,204.82,421206.4,43.24050330967857,22.950902726996855,246.23000050213474,187.1139994978653,216.67200000000003,265.2469403508457,24.749399051571263
1762992000000,204.82,216.2,190.67,198.63,620984.0,45.05965697240865,31.063072461757375,245.18673688915766,185.1372631108424,215.16200000000003,264.5840852229766,26.01077068227846
1763078400000,198.64,199.21,173.11,173.61,1206334.0,34.086815038642584,0.0,247.3285274170284,177.74247258297163,212.5355,263.67887044463856,27.609671219652167
1763164800000,173.61,182.42,173.61,178.39,254519.1,37.02795774236853,14.735522540290575,244.76561281028228,174.08138718971776,209.42350000000002,262.8302249675775,29.208571757025872
1763251200000,178.44,181.57,168.32,172.8,682860.3,32.66081177308331,0.0,243.09447708891102,169.531522911089,206.31300000000002,261.93440183357177,31.782630233743124
1763337600000,172.79,180.33,164.92,168.99,856048.3,39.129816578984794,42.84195936500368,242.18307150220238,164.51792849779758,203.35049999999998,261.00958191482977,33.86225451956104
1763424000000,168.98,179.3,165.62,178.21,867805.9,46.440702464407025,91.25940307129115,239.52314542210752,162.2498545778925,200.8865,260.1857054778663,33.782898399166804
1763510400000,178.11,178.61,163.84,174.41,611848.4,39.2893321904465,43.898375544829634,238.6829952801491,159.07800471985092,198.8805,259.3322158711213,34.25893380323172
1763596800000,174.28,178.9,159.48,164.55,676778.2,37.798935452432715,34.02799850793661,235.76729910247366,155.61070089752633,195.689,258.389109245538,34.82111565739954
