ts,open,high,low,close,volume,RSI,STOCH_RSI,BB_UPPER,BB_LOWER,BB_MID,EMA_200,ADX
1759544400000,287.88,288.11,287.69,287.81,91.2,32.12121212121248,100.0,291.0826971255469,286.9133028744531,288.998,290.93389372708185,27.2894269619185
1759544700000,287.81,288.45,287.71,288.37,97.7,37.07865168539339,100.0,290.8788415023558,286.9091584976442,288.894,290.90838234671287,24.64724156111232
1759545000000,288.37,288.93,288.09,288.46,86.0,40.42968749999984,100.0,290.56520326538265,286.99279673461734,288.779,290.8840203333128,22.505878392558675
1759545300000,288.47,288.59,288.26,288.38,79.7,42.946058091286226,100.0,290.16489440605267,287.1481055939473,288.6565,290.8591047081057,20.415251246393535
1759545600000,288.37,288.45,288.2,288.21,85.2,41.247484909456745,94.15164763758554,289.9572651043661,287.1807348956339,288.569,290.8327454572788,18.31338752646286
1759545900000,288.24,288.53,288.1,288.35,82.4,45.81589958159027,100.0,289.7625782951099,287.2314217048901,288.497,290.8080415223805,16.332896081764652
1759546200000,288.35,288.7,288.25,288.7,80.7,51.83673469387761,100.0,289.6171685535408,287.28883144645926,288.45300000000003,290.7870659848444,17.29440217953096
1759546500000,288.7,288.73,288.15,288.21,77.2,52.37113402061812,100.0,289.3702868377838,287.3817131622163,288.37600000000003,290.761423537234,18.536964795916138
1759546800000,288.13,288.31,287.3,287.65,95.8,49.51267056530204,89.79031140915885,289.1961737413985,287.37682625860145,288.2865,290.73046409905254,17.68143801889818
1759547100000,287.65,287.66,287.32,287.43,85.9,42.06185567010332,63.01896962165679,289.11495662129147,287.2950433787086,288.20500000000004,290.697623660256,16.72309684316574
1759547400000,287.41,287.42,286.92,287.02,101.3,32.06751054852276,27.167655108031237,289.060015492678,287.14398450732193,288.102,290.6610303900047,17.7652860605373
1759547700000,287.0,287.38,286.83,287.26,103.8,38.427947598253205,49.98356013632796,289.00488372575415,287.0501162742459,288.02750000000003,290.6271892915967,19.290665306374144
1759548000000,287.26,287.69,287.15,287.44,84.1,50.0,88.97010894869345,288.95564105536437,286.99135894463564,287.9735,290.5954759653122,19.154448396641904
1759548300000,287.46,287.52,287.25,287.47,84.4,45.042492917847554,63.90476255214832,288.9555838740068,286.9404161259932,287.948,290.56437670197573,19.600439911925115
1759548600000,287.47,287.7,287.25,287.46,87.4,45.04249291784682,63.90476255214471,288.96157608971254,286.9104239102874,287.936,290.5334873815581,19.30590162346565
1759548900000,287.46,287.57,287.25,287.34,80.5,33.33333333333333,6.234467392238003,288.94377615423855,286.8422238457614,287.893,290.50171138771174,19.206366122470083
1759549200000,287.37,287.47,287.29,287.43,79.10000000000001,33.33333333333455,6.234467392244023,288.82236062773865,286.8346393722613,287.82849999999996,290.4711470952967,20.472498327296826
1759549500000,287.43,287.56,287.04,287.06,89.7,30.473372781066146,0.0,288.7875201872559,286.74347981274406,287.7655,290.43720533315445,21.57001761293297
1759549800000,287.05,287.44,287.05,287.25,78.1,35.88235294117739,24.701064647382683,288.79416437193663,286.7178356280633,287.756,290.4054918472524,22.45245308537388
1759550100000,287.25,287.53,286.94,286.97,83.0,30.50847457627168,0.16029855664940357,288.80866208846027,286.61833791153964,287.71349999999995,290.3713078487723,22.94428744978151
1759550400000,286.97,287.14,286.85,287.02,92.9,24.074074074074503,0.0,288.81070622969725,286.5372937703028,287.67400000000004,290.33796150201835,25.94436598586873
1759550700000,287.02,287.52,286.99,287.36,88.39999999999999,36.24595469255759,46.948682385578394,288.719008053251,286.52799194674907,287.62350000000004,290.30833004428683,26.56164325605028
1759551000000,287.36,287.52,286.93,286.96,75.2,38.22525597269677,54.583130180401085,288.6076610383997,286.48933896160025,287.5485,290.27501332742827,26.334479903724887
1759551300000,286.99,287.04,286.45,286.6,108.6,36.48208469055447,47.85946952070925,288.5236027849053,286.3953972150948,287.45950000000005,290.23844603063793,27.79175785036445
1759551600000,286.6,286.6,286.25,286.25,404.1,37.209302325582144,50.66445182724459,288.49343406912374,286.2295659308762,287.3615,290.19876000048237,27.81568458282981
1759551900000,286.25,286.37,286.11,286.14,224.0,30.55555555555621,25.000000000001286,288.40783597527275,286.0941640247272,287.251,290.1583743288358,27.5935048018265
1759552200000,286.14,286.26,286.07,286.07,117.3,25.270758122744454,5.707078142543532,288.17641656793717,286.06258343206275,287.11949999999996,290.11769398725534,30.05453773397257
1759552500000,286.07,286.22,286.0,286.1,98.0,25.270758122744454,5.707078142543731,288.03315134974423,285.9948486502558,287.014,290.0777169326558,32.45847862067217
1759552800000,286.1,286.57,286.1,286.53,98.6,35.4231974921629,80.19912046493674,287.95279910693523,285.9632008930647,286.95799999999997,290.04241626665925,34.51724934303764
