Timestamp,Tipo,Precio_Entrada,Cantidad,TP,SL,Estado,Precio_Salida,PnL
2025-11-21 21:56:59,SHORT,158.49,0,156.11,160.07,OPEN,0.00,0.00
2025-11-21 22:05:34,SHORT,158.49,0,156.11,160.07,OPEN,0.00,0.00
2025-11-21 22:21:18,SHORT,158.49,0,156.11,160.07,OPEN,0.00,0.00
2025-11-21 22:21:39,SHORT,158.49,0,156.11,160.07,STOP_LOSS,160.23,-5.50
2025-11-21 22:21:39,SHORT,160.39,0,157.99,162.00,OPEN,0.00,0.00
2025-11-21 22:21:43,SHORT,160.39,0,157.99,162.00,STOP_LOSS,162.06,-5.19
2025-11-21 22:21:44,SHORT,162.29,0,159.86,163.92,OPEN,0.00,0.00
2025-11-21 22:21:48,SHORT,162.29,0,159.86,163.92,STOP_LOSS,164.04,-5.37
2025-11-21 22:21:49,SHORT,164.27,0,161.81,165.92,OPEN,0.00,0.00
2025-11-21 22:21:54,SHORT,164.27,0,161.81,165.92,STOP_LOSS,166.18,-5.79
2025-11-21 22:21:55,SHORT,166.41,0,163.92,168.08,OPEN,0.00,0.00
2025-11-21 22:21:58,SHORT,166.41,0,163.92,168.08,STOP_LOSS,168.16,-5.24
2025-11-21 22:21:59,SHORT,168.40,0,165.87,170.08,OPEN,0.00,0.00
2025-11-21 22:22:03,SHORT,168.40,0,165.87,170.08,STOP_LOSS,170.30,-5.65
2025-11-21 22:22:03,SHORT,170.54,0,167.98,172.24,OPEN,0.00,0.00
2025-11-21 22:22:07,SHORT,170.54,0,167.98,172.24,STOP_LOSS,172.44,-5.58
2025-11-21 22:22:08,SHORT,172.67,0,170.08,174.40,OPEN,0.00,0.00
2025-11-21 22:22:16,SHORT,172.67,0,170.08,174.40,TAKE_PROFIT,169.98,7.80
2025-11-21 22:22:18,LONG,169.27,0,171.81,167.57,OPEN,0.00,0.00
2025-11-21 22:22:23,LONG,169.27,0,171.81,167.57,STOP_LOSS,167.37,-5.62
2025-11-21 22:22:23,LONG,167.13,0,169.63,165.46,OPEN,0.00,0.00
2025-11-21 22:27:33,SHORT,158.49,0,156.11,160.07,OPEN,0.00,0.00
2025-11-21 22:28:04,SHORT,158.49,0,156.11,160.07,TAKE_PROFIT,156.03,7.75
2025-11-21 22:28:04,LONG,156.03,0,158.37,154.47,OPEN,0.00,0.00
2025-11-21 22:28:19,LONG,156.03,0,158.37,154.47,TAKE_PROFIT,158.49,7.87
2025-11-21 22:28:20,SHORT,158.65,0,156.27,160.23,OPEN,0.00,0.00
2025-11-21 22:28:33,SHORT,158.65,0,156.27,160.23,TAKE_PROFIT,156.11,7.99
2025-11-21 22:28:33,LONG,155.95,0,158.29,154.39,OPEN,0.00,0.00
2025-11-21 22:28:43,LONG,155.95,0,158.29,154.39,TAKE_PROFIT,158.33,7.62
2025-11-21 22:28:44,SHORT,158.49,0,156.11,160.07,OPEN,0.00,0.00
2025-11-21 22:29:14,SHORT,158.49,0,156.11,160.07,TAKE_PROFIT,155.95,8.00
2025-11-21 22:29:15,LONG,155.80,0,158.13,154.24,OPEN,0.00,0.00
2025-11-21 22:29:31,LONG,155.80,0,158.13,154.24,STOP_LOSS,154.13,-5.34
2025-11-21 22:29:31,LONG,154.05,0,156.36,152.51,OPEN,0.00,0.00
2025-11-21 22:29:39,LONG,154.05,0,156.36,152.51,STOP_LOSS,152.47,-5.14
2025-11-21 22:29:39,LONG,152.39,0,154.67,150.86,OPEN,0.00,0.00
2025-11-21 22:29:47,LONG,152.39,0,154.67,150.86,STOP_LOSS,150.72,-5.46
2025-11-21 22:29:47,LONG,150.64,0,152.90,149.14,OPEN,0.00,0.00
2025-11-21 22:29:57,LONG,150.64,0,152.90,149.14,STOP_LOSS,148.98,-5.52
2025-11-21 22:29:57,LONG,148.90,0,151.13,147.41,OPEN,0.00,0.00
2025-11-21 22:34:47,SHORT,158.49,0,156.11,160.07,OPEN,0.00,0.00
2025-11-21 22:35:05,SHORT,158.49,0,156.11,160.07,TAKE_PROFIT,156.03,7.75
2025-11-21 22:35:05,LONG,155.80,0,158.13,154.24,OPEN,0.00,0.00
2025-11-21 22:35:18,LONG,155.80,0,158.13,154.24,TAKE_PROFIT,158.17,7.63
2025-11-21 22:35:19,SHORT,158.25,0,155.88,159.83,OPEN,0.00,0.00
2025-11-21 22:35:37,SHORT,158.25,0,155.88,159.83,STOP_LOSS,159.92,-5.26
2025-11-21 22:35:37,SHORT,160.07,0,157.67,161.68,OPEN,0.00,0.00
2025-11-21 22:35:51,SHORT,160.07,0,157.67,161.68,TAKE_PROFIT,157.46,8.17
2025-11-21 22:35:51,LONG,157.22,0,159.58,155.65,OPEN,0.00,0.00
2025-11-21 22:36:01,LONG,157.22,0,159.58,155.65,TAKE_PROFIT,159.76,8.06
2025-11-21 22:36:02,SHORT,160.00,0,157.60,161.60,OPEN,0.00,0.00
2025-11-21 22:36:22,SHORT,160.00,0,157.60,161.60,TAKE_PROFIT,157.54,7.68
2025-11-21 22:36:22,LONG,157.46,0,159.82,155.89,OPEN,0.00,0.00
2025-11-21 22:36:34,LONG,157.46,0,159.82,155.89,TAKE_PROFIT,160.00,8.05
2025-11-21 22:36:34,SHORT,160.23,0,157.83,161.84,OPEN,0.00,0.00
2025-11-21 22:36:44,SHORT,160.23,0,157.83,161.84,TAKE_PROFIT,156.83,10.63
2025-11-21 22:36:44,LONG,156.59,0,158.94,155.02,OPEN,0.00,0.00
2025-11-21 22:36:54,LONG,156.59,0,158.94,155.02,TAKE_PROFIT,159.04,7.84
2025-11-21 22:36:55,SHORT,159.20,0,156.82,160.80,OPEN,0.00,0.00
2025-11-21 22:37:04,SHORT,159.20,0,156.82,160.80,TAKE_PROFIT,156.75,7.72
2025-11-21 22:37:04,LONG,156.51,0,158.86,154.94,OPEN,0.00,0.00
2025-11-21 22:37:12,LONG,156.51,0,158.86,154.94,TAKE_PROFIT,158.97,7.85
2025-11-21 22:37:13,SHORT,159.20,0,156.82,160.80,OPEN,0.00,0.00
2025-11-21 22:37:20,SHORT,159.20,0,156.82,160.80,TAKE_PROFIT,155.80,10.70
2025-11-21 22:37:21,LONG,155.16,0,157.49,153.61,OPEN,0.00,0.00
2025-11-21 22:37:39,LONG,155.16,0,157.49,153.61,TAKE_PROFIT,157.54,7.66
2025-11-21 22:37:40,SHORT,157.54,0,155.18,159.11,OPEN,0.00,0.00
2025-11-21 22:37:57,SHORT,157.54,0,155.18,159.11,TAKE_PROFIT,155.08,7.80
2025-11-21 22:37:58,LONG,154.84,0,157.17,153.30,OPEN,0.00,0.00
2025-11-21 22:38:14,LONG,154.84,0,157.17,153.30,TAKE_PROFIT,157.30,7.93
2025-11-21 22:38:14,SHORT,157.54,0,155.18,159.11,OPEN,0.00,0.00
2025-11-21 22:39:09,SHORT,157.54,0,155.18,159.11,TAKE_PROFIT,155.08,7.80
2025-11-21 22:39:09,LONG,154.92,0,157.25,153.37,OPEN,0.00,0.00
2025-11-21 22:39:34,LONG,154.92,0,157.25,153.37,TAKE_PROFIT,157.30,7.67
2025-11-21 22:39:35,SHORT,157.46,0,155.10,159.03,OPEN,0.00,0.00
2025-11-21 22:39:45,SHORT,157.46,0,155.10,159.03,STOP_LOSS,159.04,-5.03
2025-11-21 22:39:46,SHORT,159.12,0,156.74,160.72,OPEN,0.00,0.00
2025-11-21 22:40:30,SHORT,159.12,0,156.74,160.72,TAKE_PROFIT,156.59,7.97
2025-11-21 22:40:30,LONG,156.35,0,158.70,154.79,OPEN,0.00,0.00
2025-11-21 22:40:49,LONG,156.35,0,158.70,154.79,TAKE_PROFIT,158.81,7.86
2025-11-21 22:40:49,SHORT,159.04,0,156.66,160.64,OPEN,0.00,0.00
2025-11-21 22:53:11,SHORT,158.49,0,156.11,160.07,OPEN,0.00,0.00
2025-11-21 22:53:30,SHORT,158.49,0,156.11,160.07,STOP_LOSS,160.15,-5.25
2025-11-21 22:53:30,SHORT,160.31,0,157.91,161.92,OPEN,0.00,0.00
2025-11-21 22:54:03,SHORT,160.31,0,157.91,161.92,STOP_LOSS,162.06,-5.44
2025-11-21 22:54:04,SHORT,162.21,0,159.78,163.84,OPEN,0.00,0.00
2025-11-21 22:54:12,SHORT,162.21,0,159.78,163.84,TAKE_PROFIT,159.68,7.82
2025-11-21 22:54:13,LONG,159.44,0,161.83,157.85,OPEN,0.00,0.00
2025-11-21 22:54:19,LONG,159.44,0,161.83,157.85,STOP_LOSS,157.62,-5.72
2025-11-21 22:54:20,LONG,157.46,0,159.82,155.89,OPEN,0.00,0.00
2025-11-21 22:59:17,SHORT,159.03,0,156.64,160.62,OPEN,0.00,0.00
2025-11-21 22:59:39,SHORT,159.03,0,156.64,160.62,TAKE_PROFIT,156.57,7.75
2025-11-21 22:59:40,LONG,156.49,0,158.83,154.92,OPEN,0.00,0.00
2025-11-21 23:05:36,SHORT,159.12,0,156.73,160.71,OPEN,0.00,0.00
2025-11-21 23:05:55,SHORT,159.12,0,156.73,160.71,TAKE_PROFIT,156.65,7.75
2025-11-21 23:05:55,LONG,156.49,0,158.84,154.93,OPEN,0.00,0.00
